Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
"Fort Bend County, TX",United States,2020-03-07T02:03:30,3,0,0,29.5693,-95.8143
"Fulton County, GA",United States,2020-03-07T16:53:03,3,0,0,33.8034,-84.3963
"Maricopa County, AZ",United States,2020-03-07T19:53:02,3,0,1,33.2918,-112.4291
"Montgomery County, MD",United States,2020-03-06T04:03:17,3,0,0,39.1547,-77.2405
"Orange County, CA",United States,2020-03-04T02:13:11,3,0,0,33.7879,-117.8531
"Providence County, RI",United States,2020-03-07T02:23:08,3,0,0,41.8882,-71.4774
"San Diego County, CA",United States,2020-03-05T20:33:03,3,0,1,32.7157,-117.1611
"Suffolk County, MA",United States,2020-03-06T18:33:03,3,0,1,42.3601,-71.0589
"Washington County, OR",United States,2020-03-07T20:13:14,3,0,0,45.547,-123.1386
,Dominican Republic,2020-03-06T15:33:03,2,0,0,18.7357,-70.1627
,Luxembourg,2020-03-06T01:29:39,2,0,0,49.8144,6.1317
,Martinique,2020-03-07T03:23:05,2,0,0,14.6415,-61.0242
,Morocco,2020-03-05T13:53:03,2,0,0,31.7917,-7.0926
" Norfolk County, MA",United States,2020-03-06T18:33:03,2,0,0,42.1767,-71.1449
"Alameda County, CA",United States,2020-03-07T13:13:14,2,0,0,37.6017,-121.7195
"Broward County, FL",United States,2020-03-07T04:43:02,2,0,0,26.1901,-80.3659
"Denver County, CO",United States,2020-03-06T23:33:02,2,0,0,39.7392,-104.9903
"Fairfield County, CT",United States,2020-03-07T20:13:14,2,0,0,41.256,-73.3709
"Floyd County, GA",United States,2020-03-07T16:53:03,2,0,0,34.2829,-85.2308
"Grafton County, NH",United States,2020-03-03T23:33:03,2,0,0,43.9088,-71.826
"Hillsborough, FL",United States,2020-03-03T18:33:02,2,0,0,27.9904,-82.3018
"Lee County, FL",United States,2020-03-07T16:43:02,2,0,0,26.663,-81.9535
"Pinal County, AZ",United States,2020-03-07T17:13:23,2,0,0,32.8162,-111.2845
"Rockland County, NY",United States,2020-03-07T16:43:02,2,0,0,41.1489,-73.983
"Sacramento County, CA",United States,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542
"San Benito, CA",United States,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876
"San Mateo, CA",United States,2020-03-03T00:43:02,2,0,0,37.563,-122.3255
"Saratoga County, NY",United States,2020-03-07T18:23:05,2,0,0,43.0324,-73.936
"Summit County, CO",United States,2020-03-06T01:29:39,2,0,0,39.5912,-106.064
,Afghanistan,2020-02-24T23:33:02,1,0,0,33.0,65.0
,Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218
,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382
Tasmania,Australia,2020-03-02T20:53:02,1,0,0,-41.4545,145.9707
,Bhutan,2020-03-06T15:43:02,1,0,0,27.5142,90.4336
,Cambodia,2020-02-12T07:43:02,1,0,1,11.55,104.9167
,Cameroon,2020-03-06T15:43:02,1,0,0,3.848,11.5021
"Calgary, Alberta",Canada,2020-03-06T13:13:34,1,0,0,51.0447,-114.0719
"Edmonton, Alberta",Canada,2020-03-07T02:23:08,1,0,0,53.5461,-113.4938
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.9849,-81.2453
,Colombia,2020-03-07T00:43:02,1,0,0,4.5709,-74.2973
,Costa Rica,2020-03-07T00:43:02,1,0,0,9.7489,-83.7534
,Faroe Islands,2020-03-04T12:53:03,1,0,0,61.8926,-6.9118
,Gibraltar,2020-03-04T13:03:13,1,0,0,36.1408,-5.3536
,Jordan,2020-03-03T15:33:02,1,0,0,31.24,36.51
,Latvia,2020-03-04T01:33:07,1,0,0,56.8796,24.6032
,Liechtenstein,2020-03-04T01:33:07,1,0,0,47.14,9.55
,Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813
Tibet,China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167
,Nepal,2020-02-12T14:43:03,1,0,1,28.1667,84.25
,Nigeria,2020-02-28T16:23:03,1,0,0,9.082,8.6753
,Peru,2020-03-06T15:43:02,1,0,0,-9.19,-75.0152
,Serbia,2020-03-06T15:43:02,1,0,0,44.0165,21.0059
,Slovakia,2020-03-06T13:03:14,1,0,0,48.669,19.699
,South Africa,2020-03-06T15:43:02,1,0,0,-30.5595,22.9375
,Sri Lanka,2020-02-08T03:43:03,1,0,1,7.0,81.0
,Togo,2020-03-07T02:13:09,1,0,0,8.6195,0.8248
,Tunisia,2020-03-04T01:33:07,1,0,0,34.0,9.0
"Charleston County, SC",United States,2020-03-07T01:53:03,1,0,0,32.7957,-79.7848
"Chatham County, NC",United States,2020-03-06T16:13:15,1,0,0,35.7211,-79.1781
"Clark County, NV",United States,2020-03-05T20:53:03,1,0,0,36.0796,-115.094
"Clark County, WA",United States,2020-03-07T20:03:07,1,0,0,45.7466,-122.5194
"Cobb County, GA",United States,2020-03-07T16:53:03,1,0,0,33.8999,-84.5641
"Davis County, UT",United States,2020-03-07T04:43:02,1,0,0,40.9629,-112.0953
"Delaware County, PA",United States,2020-03-06T15:33:03,1,0,0,39.9078,-75.3879
"Douglas County, NE",United States,2020-03-06T23:33:02,1,0,0,41.3148,-96.1951
"El Paso County, CO",United States,2020-03-07T01:13:21,1,0,0,38.9108,-104.4723
"Fayette County, KY",United States,2020-03-06T23:23:03,1,0,0,38.0606,-84.4803
"Grant County, WA",United States,2020-03-05T20:23:07,1,0,0,47.1981,-119.3732
"Honolulu County, HI",United States,2020-03-07T02:03:30,1,0,0,21.307,-157.8584
"Humboldt County, CA",United States,2020-02-21T05:13:09,1,0,0,40.745,-123.8695
"Jackson County, OR ",United States,2020-03-07T20:03:06,1,0,0,42.3345,-122.7647
"Jefferson County, WA",United States,2020-03-07T16:43:02,1,0,0,47.7425,-123.304
"Kershaw County, SC",United States,2020-03-07T02:03:30,1,0,0,34.3672,-80.5883
"Klamath County, OR",United States,2020-03-07T20:13:14,1,0,0,42.6953,-121.6142
"Madera County, CA",United States,2020-03-07T20:13:14,1,0,0,37.2519,-119.6963
"Madison, WI",United States,2020-03-03T15:53:03,1,0,1,43.0731,-89.4012
"Marion County, IN",United States,2020-03-06T17:13:12,1,0,0,39.8362,-86.1752
"Middlesex County, MA",United States,2020-03-07T03:53:03,1,0,0,41.912,-70.7168
"Pierce County, WA",United States,2020-03-07T03:13:44,1,0,0,47.0676,-122.1295
"Plymouth County, MA",United States,2020-03-07T03:53:03,1,0,0,42.1615,-70.7928
"Ramsey County, MN",United States,2020-03-06T23:23:03,1,0,0,44.9964,-93.0616
"San Antonio, TX",United States,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936
"Santa Cruz County, CA",United States,2020-03-07T23:43:03,1,0,0,36.9741,-122.0308
"Santa Rosa County, FL",United States,2020-03-05T20:03:03,1,0,0,30.769,-86.9824
"Sarasota, FL",United States,2020-03-02T03:23:06,1,0,0,27.3364,-82.5307
"Sonoma County, CA",United States,2020-03-02T20:53:02,1,0,0,38.578,-122.9888
"Tulsa County, OK",United States,2020-03-07T04:43:02,1,0,0,36.1593,-95.941
"Umatilla, OR",United States,2020-03-02T20:23:16,1,0,0,45.775,-118.7606
"Wake County, NC",United States,2020-03-03T20:53:02,1,0,0,35.8032,-78.5661
"Washoe County, NV",United States,2020-03-06T19:43:02,1,0,0,40.5608,-119.6035
"Wayne County, PA",United States,2020-03-06T16:13:15,1,0,0,41.6739,-75.2479
"Williamson County, TN",United States,2020-03-05T23:33:03,1,0,0,35.9179,-86.8622
"Yolo County, CA",United States,2020-03-06T20:13:14,1,0,0,38.7646,-121.9018
,Ukraine,2020-03-03T15:33:02,1,0,0,48.3794,31.1656
,Holy See (Vatican City State),2020-03-06T15:43:02,1,0,0,41.9029,12.4534
From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.638
Northern Territory,Australia,2020-03-06T04:33:03,0,0,0,-12.4634,130.8456
"Lackland, TX (From Diamond Princess)",United States,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134
"Montgomery County, TX",United States,2020-03-07T19:53:02,0,0,0,30.3213,-95.4778
"Omaha, NE (From Diamond Princess)",United States,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758
"Travis, CA (From Diamond Princess)",United States,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399
